commodity,year,Type,msprice,msp_filter,date,APMC,Commodity,arrivals_in_qtl,min_price,max_price,modal_price,district_name,Year,Month,trend,detrended_m,seasonal_m,residual_m,deseasonalised,raw_comparison,deseasonalised_comaprison
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Indapur-Bhigwan,maize,1436.0,1250.0,1347.0,1284.0,Pune,2014.0,12.0,1338.0,0.9596412556053812,1.0069416291935112,0.953025704552493,1275.1483926912356,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Indapur,maize,52.0,1075.0,1195.0,1180.0,Pune,2014.0,12.0,1212.5,0.9731958762886598,1.0085910652920962,0.9649063032367973,1169.9488926746167,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Dound,maize,727.0,1155.0,1224.0,1190.0,Pune,2014.0,12.0,1194.0,0.9966499162479062,1.04027670461297,0.9580623230611562,1143.9264137350206,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Baramati,maize,3873.0,1053.0,1227.0,1173.0,Pune,2014.0,12.0,1275.3333333333333,0.9197595399895453,0.9946751476363483,0.9246833422702624,1179.2794891753413,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Pune,maize,1596.0,1432.0,1504.0,1468.0,Pune,2014.0,12.0,1518.25,0.9669026840111971,1.016299619343497,0.9513953027314828,1444.455918372074,Above_MSP,Above_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Kalamb (Os),maize,563.0,1039.0,1119.0,1100.0,Osmanabad,2014.0,12.0,1171.0,0.9393680614859095,1.0114498416383837,0.9287342019494377,1087.5477504827916,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Umarga,maize,137.0,1050.0,1945.0,1097.0,Osmanabad,2014.0,12.0,1205.3333333333333,0.9101216814159293,0.9839030156645152,0.9250115783019986,1114.9472890466757,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Shirala,maize,180.0,1320.0,1400.0,1360.0,Sangli,2014.0,12.0,1364.3333333333333,0.9968238455900318,0.9968238455900318,1.0,1364.3333333333333,Above_MSP,Above_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Tasgaon,maize,3535.0,1117.0,1201.0,1167.0,Sangli,2014.0,12.0,1267.6666666666667,0.9205890086773599,1.04964215091176,0.877050343183818,1111.8074850426867,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Shirur,maize,247.0,1143.0,1170.0,1164.0,Pune,2014.0,12.0,1208.75,0.9629782833505688,1.0207933892247751,0.9433625780843731,1140.289516259486,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Savner,maize,239.0,998.0,1064.0,1031.0,Nagpur,2014.0,12.0,1020.0,1.0107843137254902,1.0991974665972584,0.9195657235769791,937.9570380485187,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Nandgaon,maize,55342.0,942.0,1117.0,1044.0,Nasik,2014.0,12.0,1110.25,0.9403287547849584,0.9473743221438604,0.992563058556455,1101.993135762304,Below_MSP,Below_MSP
